pressure	height	temperature	dewpoint	rh	mixingratio	direction	sknt	thta	thte	thtv
14.4	28990	-46.1	-72.1	4	0.16	111	16	762.6	764.3	762.7
14	29177	-46.4	-72.4	4	0.15	105	11	767.9	769.6	768
13.8	29272	-46.5	-72.5	4	0.15	100	11	770.6	772.3	770.6
13.5	29418	-46.3	-72.3	4	0.16	93	11	776.1	777.9	776.2
13	29669	-46.2	-72.2	4	0.17	80	10	784.9	786.8	785
12.6	29877	-46.1	-72.1	4	0.18	96	12	792.3	794.3	792.4
12.4	29983	-46.1	-72.1	4	0.18	104	13	795.9	798	796
12	30202	-45.7	-71.7	4	0.2	120	15	804.8	807	804.9
11.2	30661	-44.9	-70.9	4	0.24	76	8	823.7	826.5	823.8
11	30782	-44.8	-70.8	4	0.25	65	6	828.4	831.3	828.5
10	31420	-44.1	-70.1	4	0.3	70	15	853.8	857.4	854
9.6	31694	-43.9	-69.9	4	0.32	76	18	864.6	868.5	864.8
9	32126	-44.3	-70	4	0.34	85	24	879	883.1	879.2
8	32914	-45.1	-70.2	4	0.37	85	27	905.9	910.6	906.1
7.8	33083	-45.3	-70.3	4	0.37	86	26	911.8	916.6	912
7.3	33526	-44.7	-69.7	4	0.44	88	23	931.7	937.4	931.9
7.1	33712	-44.5	-69.5	4	0.46	89	22	939.9	946	940.2
